Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
2022-05-13,Christian Williams,Jerry Baker,Chevrolet,Silverado,2019,41216,0.128690979535253,5304.13
2022-09-05,Stephanie Trujillo,April Morales,Ford,Silverado,2022,43188,0.0992201406476211,4285.12
2022-12-30,Shawn Cummings,Kelly Beasley,Chevrolet,Altima,2013,15064,0.0533816507353572,804.14
2022-07-02,Lacey Cooper,Jennifer Brown,Toyota,Altima,2015,36019,0.0983359271158715,3541.96
2023-02-04,Jennifer Stevens MD,Brittany Gonzales,Chevrolet,Civic,2019,23249,0.141622040650027,3292.57
2022-10-08,Kristen Becker,Ryan Medina,Nissan,Civic,2016,38278,0.0563402793610918,2156.59
2023-01-24,Julie Aguirre,Timothy Mccoy,Nissan,Silverado,2018,38307,0.0795311903156519,3046.6
2023-04-15,Victor Murillo,Matthew Anderson,Chevrolet,Corolla,2015,36834,0.0808957256679443,2979.71
2022-08-10,Nicole Williams,Richard Wolf,Ford,Civic,2012,31941,0.102854838029605,3285.29
2022-05-25,Heather Davidson,Rachel Madden,Honda,Civic,2011,17997,0.0626928636848073,1128.28
2023-02-15,Betty Young,Lynn Villarreal,Honda,Corolla,2015,44250,0.115044400724805,5090.71
2023-04-18,Chad Davis,Jesse Dunn,Nissan,Corolla,2013,13194,0.118621261312114,1565.09
2022-11-14,Lauren Hernandez,Amanda Combs,Ford,Civic,2012,29108,0.122976628182328,3579.6
2022-05-24,David Diaz,Amy Sanchez,Chevrolet,F-150,2013,26168,0.136261663354066,3565.7
2023-03-23,Brian Moran,Matthew Peterson,Chevrolet,Civic,2013,14864,0.0777442745126082,1155.59
2022-09-03,Amanda Butler,Sabrina Williams,Toyota,Corolla,2012,28564,0.061851656927741,1766.73
2022-07-02,Jacob Bishop,Marc Caldwell,Nissan,Corolla,2021,21224,0.0930142274685383,1974.13
2022-12-16,Michael Walton,Edgar Smith,Nissan,Corolla,2011,29018,0.145968716807169,4235.72
2023-03-13,John Newton,Carrie Hudson,Toyota,F-150,2016,45367,0.0817340716286229,3708.03
2022-08-17,Kristen Martinez,Colleen Fischer,Chevrolet,Altima,2021,17832,0.0518528764213676,924.64
2023-01-03,Kimberly Maldonado,Kristine Hernandez,Ford,Civic,2014,39908,0.108985072748929,4349.38
2022-11-30,Tara Hubbard,Virginia Joyce,Toyota,Corolla,2016,14609,0.0914093620050513,1335.4
2023-04-13,Valerie Sanchez,Carlos Fields,Nissan,Altima,2022,13508,0.146756353246513,1982.38
2022-12-24,Kevin Mitchell,Christie Odonnell,Chevrolet,F-150,2022,13280,0.122885976797121,1631.93
2023-02-11,David Gomez,Linda Conrad,Nissan,Altima,2019,46164,0.144673804405061,6678.72
2022-08-10,Rebecca Pearson,Randall Thompson,Ford,F-150,2013,14744,0.08509262211359,1254.61
2022-05-20,Jessica Flores,Carol Turner,Ford,Civic,2014,27999,0.0902983395343638,2528.26
2022-07-19,Joseph Patterson,James Velazquez,Honda,Corolla,2010,24327,0.0954573320827725,2322.19
2023-01-20,Carrie Gordon,Joseph Marquez,Honda,Silverado,2015,35989,0.105519995850021,3797.56
2023-04-19,Christina Avery,Courtney Miller,Nissan,Silverado,2017,21618,0.14533794532406,3141.92
2022-10-07,Monique Green,Audrey Perry,Toyota,Corolla,2022,26862,0.0951350095133257,2555.52
2022-11-18,Tom Hunt,Tammy Wood,Chevrolet,F-150,2010,36750,0.10244553172281,3764.87
2023-02-01,Walter Robinson,Jeffrey Gillespie,Honda,Civic,2020,19526,0.128314717645275,2505.47
2023-01-24,Robert Gordon,Jennifer Cohen,Chevrolet,F-150,2019,26875,0.115654698082265,3108.22
2022-06-04,Michelle Moore,Sharon Brooks,Ford,Civic,2019,10371,0.104990942493998,1088.86
2023-01-06,Lindsey Knight,Haley Sanders,Nissan,Altima,2019,13649,0.123331662690678,1683.35
2022-10-04,Christopher Taylor,Denise Carter,Chevrolet,F-150,2017,29518,0.0726242283542359,2143.72
2023-01-03,Kathy Evans,Claudia Ali,Toyota,Altima,2022,43019,0.146540852066251,6304.04
2022-11-16,Katherine Harris,Lori Byrd,Ford,Altima,2022,33493,0.146898115386002,4920.06
2023-04-03,Laura Huff,Michael Lewis,Chevrolet,Altima,2017,26262,0.123232015312065,3236.32
2022-08-25,Charles Cruz,Debra Hudson,Toyota,Altima,2015,18282,0.148180711833809,2709.04
2023-04-12,Hayley Day,Anthony Glover,Honda,F-150,2015,48916,0.0998335757299132,4883.46
2023-04-01,Hunter King,Toni Acosta,Toyota,Civic,2016,48163,0.131807446935917,6348.24
2022-08-08,Kimberly Rasmussen,Brian Lamb,Nissan,Civic,2016,45824,0.105823117041723,4849.24
2023-02-19,Shawn Mullen,Jeremy Jones,Nissan,Civic,2018,16314,0.149343526273311,2436.39
2022-05-10,Matthew Campos,Brandon Kim,Chevrolet,Silverado,2016,19018,0.0678795584423346,1290.93
2022-05-14,Tyler Freeman,Shannon Sutton,Honda,Altima,2021,27067,0.104673188197893,2833.19
2022-10-16,Matthew Ortiz,Mr. Kyle Patrick MD,Honda,Civic,2022,31238,0.09855528087666,3078.67
2023-02-01,Anna Johnson,Damon Baker,Chevrolet,Civic,2012,28865,0.124313596084198,3588.31
2023-02-23,Carl Miller,Amy Burns,Honda,Corolla,2012,25187,0.083280409735049,2097.58
2022-09-08,Ashley English,Adrian Miller,Chevrolet,Corolla,2022,45561,0.116254341685392,5296.66
2022-06-09,Mark Mayo,Jesse Walker,Chevrolet,F-150,2014,15751,0.102110742305857,1608.35
2022-06-01,Becky Stafford,Seth Horne,Nissan,Silverado,2016,24664,0.12472433714897,3076.2
2022-05-24,Shaun Johnson,Zachary Freeman,Toyota,Civic,2012,46092,0.079424325458313,3660.83
2022-09-23,Deanna Rodriguez,Christopher Cruz,Toyota,Corolla,2014,32968,0.118714077525821,3913.77
2022-06-13,Jennifer Wallace,Michael Smith,Ford,Corolla,2011,13261,0.12444240491186,1650.23
2023-02-14,Matthew Walker,Mary Perry,Chevrolet,Corolla,2019,45162,0.133706821658085,6038.47
2023-03-16,Kenneth Fields,Audrey Gomez,Honda,Civic,2018,28160,0.0922538371587664,2597.87
2023-04-04,Deborah Whitney,Sarah Watkins,Ford,Civic,2013,45334,0.136882742053748,6205.44
2022-09-21,David Wood,Brent Mays,Toyota,Altima,2013,24034,0.0913130693962219,2194.62
2022-06-23,Christopher Oneill,Phillip Cox,Toyota,Altima,2022,18209,0.0972775999104008,1771.33
2022-06-04,William Daniel,Jamie Smith,Honda,Corolla,2015,23255,0.0547449152419368,1273.09
2022-12-02,Stephen Ward,Chase Oneill,Ford,Corolla,2022,17038,0.0815203687061349,1388.94
2023-01-23,Donald Guerra,John Goodwin,Ford,Altima,2020,25964,0.0982186446915252,2550.15
2023-03-13,Alyssa Boyd,James Turner,Nissan,F-150,2016,10872,0.109546904071734,1190.99
2022-12-31,Ryan Barnes,Mary Wong,Toyota,Silverado,2018,17650,0.105740363193177,1866.32
2022-12-29,Megan Kaiser,Christopher Alexander,Ford,Civic,2013,25256,0.0556208816069781,1404.76
2023-04-16,Michael Jordan,Thomas Blankenship,Chevrolet,Altima,2014,31462,0.10395102112012,3270.51
